id,name,description,photo,stock,active,price,merchant_id,category_ids
1,Sphynx sweater,grey with pompoms,https://i.imgur.com/0aPXiCh.jpg,5,true,100,1,28
2,Tito's Vodka sweater,vodka sweater,https://i.imgur.com/hMcGBdX.jpg,5,true,20,1,435
3,Pear sweater,pear sweater,https://i.imgur.com/UUy6Zgl.jpg,10,true,3,5,15
4,Traffic cone sweater,traffic cones get cold too,https://i.imgur.com/oepFWln.png,3,true,10.50,2,78
5,Teapot sweater,for keeping your tea warm,https://i.imgur.com/7fEu0Iq.jpg,12,true,35.99,2,345
6,Laptop sweater,for laptops,https://i.imgur.com/IiIGJmm.jpg,20,true,75,3,56
7,Jar sweater,now with a pocket!,https://i.imgur.com/HsKpvyl.jpg,2,true,14.99,2,3
8,Pumpkin spice latte sweater,you know what season it is,https://i.imgur.com/oV0IIzY.png,5,true,23,7,45
9,Snake sweater,with sleeves,https://i.imgur.com/VipCUDK.jpg,6,true,20,6,28
10,Cell phone sweater,pink ombre wow,https://i.imgur.com/RfH1meY.jpg,20,true,13.50,7,56
11,Drink glass sweater,chill your drinks warm your soul,https://i.imgur.com/iZGmpi9.jpg,22,true,20,6,45
12,Lawn flamingo sweater,year round festivity,https://i.imgur.com/FNF1yvy.jpg,50,true,3,4,378
13,Cake sweater,this definitely counts,https://i.imgur.com/uujvsAw.jpg,4,true,10,6,8
14,Cold brew sweater,for ice coffee in December,https://i.imgur.com/iiGV5Au.jpg,10,true,6,1,45
15,Keys sweater,keys also get cold,https://i.imgur.com/wd4etxh.jpg,12,true,30,5,567
16,Ice cream pint sweater,ice cream should be cold,https://i.imgur.com/qrQXaQF.jpg,10,true,49.99,1,3
17,Sequoia tree sweater,grow big n strong lil buddy,https://i.imgur.com/ip6D2CB.jpg,10,true,15.99,2,93
18,Soda can sweater,what flavor soda is this? who knows! it's wearing a sweater!,https://i.imgur.com/lePK3ig.jpg,10,true,10.5,3,34
19,Beer sweater,sold in pairs so you can enjoy with a pal,https://i.imgur.com/Ewu6uNB.jpg,10,true,20,4,34
20,Long sleeved mug sweater,for extra cold days and extra hot tea,https://i.imgur.com/BJVxg0i.jpg,10,true,50,5,345
21,Egg sweater,keep the yolks nice and toasty,https://i.imgur.com/TTxB1n4.jpg,10,true,10.5,6,35
22,Kleenex sweater,a handsome sweater,https://i.imgur.com/n9oucfw.jpg,10,true,10.5,4,3
23,Wine sweater,dapper and delicious,https://i.imgur.com/WpwsxiR.jpg,10,true,19.99,3,34
24,Penguin sweater,they need 'em,https://i.imgur.com/CGcuJ6Q.jpg,10,true,10.5,2,2
25,Snail sweater,possibly also a hat for a mouse,https://i.imgur.com/avhUZ6E.jpg,10,true,20.99,3,2
26,Potted plant sweater,plant not included.,https://i.imgur.com/OPdj0kf.jpg,10,true,12.5,3,93
27,Hot bottle sweater,keep your hot water bottle extra warm,https://i.imgur.com/59fmaYu.jpg,10,true,11.5,4,57
28,French press sweater,rumor has it this makes your coffee taste even better,https://i.imgur.com/wkBWB5h.jpg,10,true,12.5,5,34
29,Banana sweater,keep your breakfast cozy,https://i.imgur.com/yakLhKh.jpg,10,true,7.99,6,1
30,Toilet Roll sweater,what a happy color,https://i.imgur.com/EbGakCS.jpg,10,true,14.5,7,378
31,Maker's Mark sweater,refined and cozy,https://i.imgur.com/jKmfiea.jpg,10,true,9.99,4,34
32,Bonsai sweater,bonsai tree,https://i.imgur.com/tbkYW7H.jpg,10,true,150,2,398
